Issue #,Title,Type Labels,Area Labels,Status Labels,Priority Labels,Assignees,Milestone,Gaps
1230,"feat(markdown-audit): Phase 2 — Frontmatter Standardization for Portable Assets",type:feature,,,priority:normal,ashleyshaw,v1.0,area;status;pr-link
1229,"Markdown Audit: Complete CI/CD Scope Optimization Initiative",type:audit,,,priority:normal,ashleyshaw,v1.0,area;status
1220,"Add issue Definition of Done (DoD) validation workflow",type:feature,area:automation,,,ashleyshaw,v1.0,status;priority;pr-link
1213,"Markdown Audit: CI/CD Linting Scope Optimization",,,,,ashleyshaw,v1.0,type;area;status;priority
1209,"audit(mergify): Deep analysis and improvement plan for merge automation",type:audit,area:ci,,priority:normal,ashleyshaw,v1.0,status
1208,"fix(ci): address template-enforcement workflow issues",type:bug,,,priority:normal,ashleyshaw,v1.0,area;status;pr-link
1207,"fix(ci): address DoD validation workflow issues",,,,,ashleyshaw,v1.0,type;area;status;priority
1206,"fix(ci): add missing label definitions to labels.yml",type:bug,,,priority:normal,ashleyshaw,v1.0,area;status;pr-link
1205,"fix(ci): remove duplicate ci alias from area:ci label",type:bug,,,priority:normal,ashleyshaw,v1.0,area;status;pr-link
1197,"Agent Skills Refactoring: Consolidate & Standardize All Agent Skill Directories",type:refactor;type:automation,,,,ashleyshaw,v1.0,area;status;priority
1192,"fix(meta-agent): frontmatter metadata not updated when files are modified",type:bug,,,priority:normal,ashleyshaw,v1.0,area;status;pr-link
1190,"feat(agents): standardize wp-config-agent for multi-provider support",type:feature,area:ai,,priority:normal,ashleyshaw,v1.0,status;pr-link
1189,"feat(agents): standardize phase-2-batch-5-14 for multi-provider support",type:feature,area:ai,,priority:normal,ashleyshaw,v1.0,status;pr-link
1186,"chore: design approval gates for optional auto-closure automation",type:task,,status:ready,priority:low,ashleyshaw,v1.0,area
1185,"chore: implement stale-issue audit workflow and gather baseline data",type:task,,status:ready,priority:low,ashleyshaw,v1.0,area
1184,"chore: build closure allowlist configuration for optional auto-closure",type:task,,status:ready,priority:low,ashleyshaw,v1.0,area
1183,"chore: audit all workflows for hidden closure logic",type:task,,status:ready,priority:normal,ashleyshaw,v1.6,area
1182,"docs: add closure criteria section to issue templates",type:documentation,,status:ready,priority:normal,ashleyshaw,v1.6,area
1181,"chore: create dry-run audit workflow template for future stale-issue automation",type:task,,status:ready,priority:normal,ashleyshaw,v1.6,area
1180,"Epic: Aging and SLA system safeguards and improvements",type:epic,,status:in-progress,priority:high,ashleyshaw,v1.6,area
1178,"Task: End-to-end testing & validation",type:task,area:testing,,priority:high,ashleyshaw,v1.1,status
1177,"Task: Update AGENTS.md with issue creation practices",type:task,area:documentation,,priority:medium,ashleyshaw,v1.1,status
1176,"Task: Create AI agent issue creation guide",type:task,area:documentation,,priority:medium,ashleyshaw,v1.1,status
1175,"Task: Template-aware type detection",type:task,area:ci,,priority:medium,ashleyshaw,v1.1,status
1174,"Feature: Auto-populate custom fields",type:feature,area:ci,status:in-progress,priority:high,ashleyshaw,v1.1,pr-link
1173,"Feature: Implement PR merge blocker",type:feature,area:ci,,priority:high,ashleyshaw,v1.1,status;pr-link
1172,"Feature: Add issue DoD validation",type:feature,area:ci,status:in-progress,priority:high,ashleyshaw,v1.0,pr-link
1170,"Feature: Implement issue-body labeling rules",type:feature,area:ci,status:ready,priority:high,ashleyshaw,v1.0,pr-link
1167,"Epic: Issue Type & Metadata Automation Initiative",type:epic,area:ci,,priority:high,ashleyshaw,v1.0,status
1166,"chore: communicate aging and SLA audit findings to team",type:chore,,status:in-progress,priority:high,ashleyshaw,v1.6,area
1165,"chore: verify GitHub stale issue auto-close is disabled",type:task,,status:in-progress,priority:high,ashleyshaw,v1.6,area
1164,"docs: document explicit no-auto-closure policy in CLAUDE.md",type:documentation,,status:in-progress,priority:high,ashleyshaw,v1.6,area
1163,"chore: add safeguard comments to project-meta-sync workflow",type:chore,,status:in-progress,priority:high,ashleyshaw,v1.6,area
1160,"Audit: Issue aging and SLA annotation system",type:audit,,,,ashleyshaw,v1.0,area;status;priority
1158,"docs(agent-standards): Phase 2 execution playbook and per-chat prompts",type:task,area:documentation;area:ai,,,ashleyshaw,v1.0,status;priority
1156,"Story: Initialize Product Development Project Template with Fields, Automations & Views",,,,priority:important,ashleyshaw,v1.0,type;area;status
1155,"Story: Initialize Client Delivery Project Template with Fields, Automations & Views",,,,priority:important,ashleyshaw,v1.0,type;area;status
1154,"Epic: GitHub Projects — Bulk Creation & Template-Driven Initialization",,,,priority:important,ashleyshaw,v1.0,type;area;status
1147,"fix: reconcile Priority field vocabulary + add parity regression test",type:bug,area:labels;area:automation,,,ashleyshaw,,status;priority;milestone;pr-link
1145,"feat: add GraphQL writer for org issue fields (Domain, Team, Risk, etc.)",type:feature,area:labels;area:automation,,,ashleyshaw,,status;priority;milestone;pr-link
1135,"fix: footer validation reporting false positives on PRs",type:bug,area:ci,,priority:high,,,status;assignee;milestone;pr-link
1134,"fix: replace deprecated yaml.safeLoad() with yaml.load()",type:bug,area:ci,,priority:high,,,status;assignee;milestone;pr-link
1129,"chore: complete pending CodeRabbit improvements for agent hooks (#1126 Phase 2)",,,,,,v1.0,type;area;status;priority;assignee
1128,"[Test] Milestone auto-allocation verification",type:task,,,priority:normal,,,area;status;assignee;milestone
1126,"chore(code-quality): address remaining CodeRabbit feedback from PR #1108",,area:ci;area:scripts,,,ashleyshaw,v1.0,type;status;priority
1125,"Test: Verify project-meta-sync workflow with Node 24",,,,,ashleyshaw,v1.6,type;area;status;priority
1124,"Test: Node 24 fix (after push)",type:task,,,,ashleyshaw,v1.6,area;status;priority
1122,"Test: Project 33 auto-allocation (Node 24 fix)",type:task,,,,ashleyshaw,v1.6,area;status;priority
1121,"Test: Project 33 auto-allocation",type:task,,,,ashleyshaw,v1.6,area;status;priority
1120,"test(hooks): add regression test coverage for validation edge cases",,area:ci;area:scripts,,,ashleyshaw,v1.0,type;status;priority
1117,"fix(validation): validate-footers --fix truncates file bodies",,area:ci;area:scripts,,,ashleyshaw,v1.1,type;status;priority
1114,"Fix footer formatting: remove references below footer lines",,,,,ashleyshaw,v1.6,type;area;status;priority
1112,"Implement project milestone allocation strategy (v1.0+)",type:feature,,,priority:normal,ashleyshaw,v1.0,area;status;pr-link
1111,"Actions Minutes Savings Report (Auto)",type:automation,,,,,v1.0,area;status;priority;assignee
1106,"docs(instructions): add 4 multi-provider agent instruction files + cookbook",type:documentation,area:documentation,,,ashleyshaw,v1.0,status;priority
1105,"automation(hooks): add 4 agent/plugin validation hooks",type:automation,area:automation,,,ashleyshaw,v1.0,status;priority
1104,"automation(schema): add 4 multi-provider agent JSON schemas",type:automation,area:automation,,,ashleyshaw,v1.0,status;priority
1083,"meta.agent.js --dry-run writes real changes to disk",type:bug,,,,ashleyshaw,v1.0,area;status;priority;pr-link
1079,"Epic: Multi-Provider Agent Standardization Initiative",type:epic,area:ai,,priority:normal,ashleyshaw,v1.0,status
1076,"Mergify config has invalid speculative_checks field, breaking merge queue checks for every PR",type:chore,,,,ashleyshaw,v1.0,area;status;priority
1070,"chore(meta): tracking issue for automated meta-agent sync PRs",type:automation,area:automation,,,ashleyshaw,v1.0,status;priority
1069,"Branch cleanup automation: fix critical safety issues",type:bug;type:security,,,,ashleyshaw,v1.0,area;status;priority;pr-link
1009,"Audit and simplify changelog governance, links, and automation",type:audit,area:documentation;area:tests;area:scripts;area:automation,,priority:normal,ashleyshaw,v1.3,status
968,"Release v0.6.0 — Community Health, Governance Docs, and Meta Agent Foundations",type:release,area:governance,,priority:high,ashleyshaw,v1.3,status
950,"[Plugin Pack Task] P10 WP AI Readiness Assessor",,area:plugins,,priority:important,krugazul,v1.5,type;status
949,"[Plugin Pack Task] P09 WP Test Automation Harness",,area:plugins,,priority:important,ashleyshaw,v1.5,type;status
948,"[Plugin Pack Task] P08 WP Docs to Playbook Generator",,area:plugins,,priority:important,ashleyshaw,v1.5,type;status
947,"[Plugin Pack Task] P07 WP Site Observability Traces",,area:plugins,,priority:important,ashleyshaw,v1.5,type;status
946,"[Plugin Pack Task] P06 WP Release Readiness Gate",,area:plugins,,priority:important,ashleyshaw,v1.5,type;status
945,"[Plugin Pack Task] P05 WP Editor Performance Lab",,area:plugins,,priority:important,ashleyshaw,v1.5,type;status
944,"[Plugin Pack Task] P04 WP Plugin Dependency Sponsor Insights",,area:plugins,,priority:important,ashleyshaw,v1.5,type;status
943,"[Plugin Pack Task] P03 WP Block Accessibility Guardian",,area:plugins,,priority:important,ashleyshaw,v1.5,type;status
942,"[Plugin Pack Task] P02 WP Theme JSON Governor",,area:plugins,,priority:important,ashleyshaw,v1.5,type;status
941,"[Plugin Pack Task] P01 WP Content Model Designer",,area:plugins,,priority:important,ashleyshaw,v1.5,type;status
940,"[Plugin Pack Epic] WordPress 10-Plugin Catalog & Wave Execution",,area:plugins,,priority:important,ashleyshaw,v1.5,type;status
938,"[PHASE 6] Validation and Reporting Closeout",type:documentation,area:testing;area:quality,,priority:critical,ashleyshaw,v1.4,status
937,"[PHASE 5] Utility Edge-Case Coverage",type:task,area:testing;area:quality,,priority:normal,ashleyshaw,v1.4,status
936,"[PHASE 4] Release Agent Coverage Hardening",type:automation,area:automation;area:quality,,priority:important,ashleyshaw,v1.4,status
935,"[PHASE 3] Linting Agent Coverage",type:test,area:testing;area:quality,,priority:critical,ashleyshaw,v1.4,status
934,"[PHASE 2] Metrics Agent Coverage",type:test,area:testing;area:quality,,priority:critical,ashleyshaw,v1.4,status
933,"[PHASE 1] Baseline Measurement and Coverage Gap Report",type:audit,area:testing;area:quality,,priority:critical,ashleyshaw,v1.4,status
932,"[EPIC] Test Coverage Implementation Programme",type:epic,area:testing;area:quality,status:needs-planning,priority:critical,,v1.6,assignee
930,"Add checklist finalisation workflow for closed issues and merged PRs",type:automation,,,priority:normal,,v1.6,area;status;assignee
928,"Create canonical issue-creation workflow for AI-driven issue drafting",type:automation,,,priority:normal,,v1.6,area;status;assignee
927,"[Child] Plan: File Organization Refactoring - Migration & Validation",type:task,area:core,,priority:normal,ashleyshaw,v1.1,status
926,"[Child] Audit: Agent & Script Files - Migration Status",type:audit,area:core,,priority:normal,ashleyshaw,v1.1,status
925,"[Child] Audit: Current File Organization vs CLAUDE.md Boundaries",type:audit,area:core,status:ready,priority:normal,ashleyshaw,v1.1,
924,"[Child] Update: Fix & Refresh README Files with Current Information",type:task,area:documentation;area:a11y,status:ready,priority:normal,ashleyshaw,v1.1,
923,"[Child] Audit: Mermaid Diagram Accessibility (WCAG AA, Light/Dark)",type:audit,area:documentation;area:a11y,,priority:normal,krugazul,v1.2,status
922,"[Child] Audit: Validate Mermaid Syntax in All Diagrams",type:audit,area:documentation,,priority:normal,krugazul,v1.2,status
921,"[Child] Audit: Discover All README.md Files - Inventory",type:audit,area:documentation,,priority:normal,krugazul,v1.1,status
920,"[Child] Update: Documentation Index (docs/index.md) - Complete & Current",type:task,area:documentation,,priority:normal,ashleyshaw,v1.2,status
919,"[Child] Audit: Documentation Folder Structure vs CLAUDE.md Boundaries",type:audit,area:core;area:documentation,,priority:normal,ashleyshaw,v1.2,status
918,"[Child] Audit: Labeling Docs - Consolidate Overlapping Files",type:audit,area:documentation;area:labels,,priority:important,krugazul,v1.1,status
917,"[Child] Audit: PR Creation Docs - Consolidate Overlapping Files",type:audit,area:documentation,,priority:important,krugazul,v1.1,status
916,"[Child] Audit: Issue Creation Docs - Consolidate Overlapping Files",type:audit,area:documentation,,priority:important,krugazul,v1.1,status
914,"[Child] Document: Canonical Config File Interdependencies",type:task,area:documentation;area:automation,,priority:normal,,v1.1,status;assignee
913,"[Child] Audit: Issue Fields Configuration vs GitHub API",type:audit,area:automation,,priority:normal,,v1.2,status;assignee
912,"[Child] Audit: Issue Types Alignment with Templates & Labels",type:audit,area:labels;area:automation,,priority:important,,v1.2,status;assignee
911,"[Child] Audit: labels.yml Colour Consistency & Strategy Alignment",type:audit,area:labels,,priority:important,,v1.2,status;assignee
910,"[Child] Implement: Clear AI Agent Instructions for Issue Creation",type:task,area:automation,,priority:important,,v1.3,status;assignee
909,"[Child] Audit: Issue Labeling Rules in labeler.yml",type:audit,area:labels;area:automation,,priority:important,,v1.2,status;assignee
908,"[Child] Audit: Issue Template -> Automation Trigger Mapping",type:audit,area:automation,,priority:important,,v1.2,status;assignee
907,"[Child] Audit: Issue Template Inventory & Standardization",type:audit,area:documentation,,priority:normal,,v1.2,status;assignee
906,"[Audit] File Organization - Align with CLAUDE.md Repository Boundaries",type:audit,area:core,,priority:normal,ashleyshaw,v1.1,status
905,"[Audit] README Files - Mermaid Diagrams & Accessibility Review",type:audit,area:documentation;area:a11y,,priority:normal,,v1.1,status;assignee
903,"[Audit] Canonical Config Files (labels, issue-types, issue-fields)",type:audit,area:labels;area:automation,,priority:important,,v1.1,status;assignee
902,"[Audit] Issue Templates, Automation, & AI Agent Integration",type:audit,area:labels;area:automation,,priority:important,,v1.2,status;assignee
897,"[Epic] Branch Governance Hardening",type:epic,area:documentation;area:automation,,priority:important,ashleyshaw,v1.3,status
880,"Decide whether issue templates should carry deterministic type labels in frontmatter",,,,,ashleyshaw,v1.6,type;area;status;priority
878,"Retire stale issue-template audit reports and mark them historical",type:chore,area:documentation,,,ashleyshaw,v1.6,status;priority
819,"chore(deps): rebuild website Astro upgrade path after dependabot branch drift",type:maintenance,area:website,,priority:normal,ashleyshaw,v1.5,status
787,"fix: Standardize migration guide references to canonical path",,,,,ashleyshaw,v1.6,type;area;status;priority
786,"docs: CodeRabbit v2 schema validation and configuration cleanup",,,,,ashleyshaw,v1.1,type;area;status;priority
783,"chore: Validate and fix CodeRabbit configuration against latest schema",type:chore,area:ci,status:ready-for-development,,ashleyshaw,v1.6,priority
782,"[Task] Add release guardrails, runbook updates, and rollback verification",type:release,area:documentation;area:automation;area:release,status:needs-planning,priority:important,ashleyshaw,v1.3,
781,"[Task] Expand release agent and workflow tests",type:test,area:tests;area:automation,status:needs-planning,priority:important,ashleyshaw,v1.3,
780,"[Task] Harden the release workflow with approval and concurrency gates",type:build,area:ci;area:automation,status:needs-planning,priority:important,ashleyshaw,v1.3,
779,"[Task] Harden release agent safety gates",type:refactor,area:documentation;area:automation,status:needs-planning,priority:important,ashleyshaw,v1.3,
778,"[Epic] Release agent hardening and safe publish gates",type:epic,area:documentation;area:automation,status:needs-planning,priority:important,ashleyshaw,v1.3,
774,"[Task] Triage legacy root files and complete cleanup closeout",type:maintenance,area:documentation;area:automation,,priority:normal,ashleyshaw,v1.1,status
773,"[Task] Finalise report artifact placement and script outputs",type:task,area:documentation;area:automation,,priority:normal,ashleyshaw,v1.1,status
772,"[Task] Complete root document relocation and reference hygiene",type:documentation,area:documentation,,priority:important,ashleyshaw,v1.1,status
771,"[Task] Finalise dependency rationalisation from usage evidence",type:audit,area:dependencies;area:automation,,priority:important,ashleyshaw,v1.1,status
770,"[Epic] Root cleanup and dependency rationalisation",type:epic,area:documentation;area:automation,status:needs-planning,priority:important,ashleyshaw,v1.1,
766,"Awesome GitHub Site - Accessibility and launch validation for the full site",type:a11y,area:website,,priority:normal,ashleyshaw,v1.5,status
765,"Awesome GitHub Site - Document the full content model and governance",type:documentation,area:website,,priority:normal,ashleyshaw,v1.5,status
747,"[Meta] Planning Complete - Execute v0.5.0 Blockers",type:task,area:core,,priority:high,,v1.6,status;assignee
746,"[Child of #602] Coverage Baseline and Unskip Execution",type:task,area:testing,,priority:high,,v1.6,status;assignee
745,"[Standards] Refresh WordPress Compliance Plan for WP 7.0 and Agent Skills",type:task,area:documentation,,priority:medium,ashleyshaw,v1.4,status
744,"[Safety Audit] Context Reduction Plan - Evidence-Gated Execution",type:audit,area:documentation,,priority:high,ashleyshaw,v1.4,status
743,"[Child of #602] Coverage Baseline and Unskip Execution",type:task,area:testing,,priority:high,ashleyshaw,v1.6,status
742,"[Standards] Refresh WordPress Compliance Plan for WP 7.0 and Agent Skills",type:task,area:documentation,,priority:medium,,v1.4,status;assignee
741,"[Safety Audit] Context Reduction Plan - Evidence-Gated Execution",type:audit,area:documentation,,priority:high,,v1.4,status;assignee
740,"[Task] Validate migrated prompt library and define rollout controls",type:task,area:documentation;area:quality,status:done,priority:normal,,v1.6,assignee
739,"[Task] Migrate files, update prompt references, and add deprecation paths",type:task,area:documentation;area:automation,status:done,priority:normal,,v1.1,assignee
738,"[Task] Refactor org-wide prompts to root prompts standard",type:documentation,area:documentation,status:done,priority:important,,v1.1,assignee
737,"[Task] Inventory and classify .github prompt assets with final target mapping",type:audit,area:documentation,status:done,priority:important,,v1.2,assignee
736,"[Epic] Prompt library scope classification and migration governance",type:task,area:documentation;area:automation,status:done,priority:important,,v1.3,assignee
735,"[Plugin Pack Child] Next Wave Backlog Spec & Sequencing",type:task,area:automation,,priority:high,ashleyshaw,v1.3,status
734,"[Plugin Pack Child] Third Wave Execution Spec & Delivery",type:task,area:automation,,priority:high,ashleyshaw,v1.3,status
733,"[Plugin Pack Child] Second Wave Execution Spec & Delivery",type:task,area:automation,,priority:high,ashleyshaw,v1.3,status
732,"[Plugin Pack] Wave Execution Parent",type:task,area:automation,,priority:high,ashleyshaw,v1.3,status
731,"[Launch Child] Rollback, Docs, and Release Gate Checklist",type:task,area:documentation,,priority:high,,v1.3,status;assignee
730,"[Launch Child] Coverage & Dry-Run Reliability Confirmation",type:task,area:testing,,priority:high,,v1.6,status;assignee
729,"[Launch Child] CI/Test Infrastructure Gate Validation",type:task,area:testing,,priority:high,,v1.6,status;assignee
728,"[Launch] Agent Launch Readiness Gate",type:task,area:automation,,priority:high,,v1.3,status;assignee
706,"Fix: Pre-existing CI Failures — Broken Links and Frontmatter Validation",type:maintenance,area:core,,priority:normal,ashleyshaw,v1.6,status
673,"[Child of #653] Plan: File Organization Refactoring - Migration & Validation",type:task,area:core,,priority:normal,ashleyshaw,v1.1,status
672,"[Child of #653] Audit: Agent & Script Files - Migration Status",type:audit,area:core,,priority:normal,,v1.1,status;assignee
671,"[Child of #653] Audit: Current File Organization vs. CLAUDE.md Boundaries",type:audit,area:core,,priority:normal,,v1.1,status;assignee
670,"[Child of #652] Update: Fix & Refresh 44 README Files with Current Information",type:task,area:documentation,,priority:normal,,v1.1,status;assignee
669,"[Child of #652] Audit: Mermaid Diagram Accessibility (WCAG AA, Light/Dark Mode)",type:audit,area:a11y,,priority:normal,,v1.2,status;assignee
668,"[Child of #652] Audit: Validate Mermaid Syntax in All Diagrams",type:audit,area:documentation,,priority:normal,,v1.2,status;assignee
667,"[Child of #652] Audit: Discover All 44 README.md Files - Inventory",type:audit,area:documentation,,priority:normal,,v1.1,status;assignee
666,"[Child of #651] Update: Documentation Index (docs/index.md) - Complete & Current",type:task,area:documentation,,priority:normal,,v1.2,status;assignee
665,"[Child of #651] Audit: Documentation Folder Structure vs. CLAUDE.md Boundaries",type:audit,area:core,,priority:normal,,v1.1,status;assignee
664,"[Child of #651] Audit: Labeling Docs - Consolidate Overlapping Files",type:audit,area:documentation,,priority:important,,v1.1,status;assignee
663,"[Child of #651] Audit: PR Creation Docs - Consolidate Overlapping Files",type:audit,area:documentation,,priority:important,,v1.1,status;assignee
662,"[Child of #651] Audit: Issue Creation Docs - Consolidate Overlapping Files",type:audit,area:documentation,,priority:important,,v1.1,status;assignee
661,"[Child of #650] Document: Canonical Config File Interdependencies",type:task,area:labels,,priority:important,,v1.1,status;assignee
660,"[Child of #650] Audit: Issue Fields Configuration vs. GitHub API",type:audit,area:labels,,priority:normal,,v1.2,status;assignee
659,"[Child of #650] Audit: Issue Types Alignment with Templates & Labels",type:audit,area:labels,,priority:important,,v1.2,status;assignee
657,"[Child of #649] Implement: Clear AI Agent Instructions for Issue Creation",type:task,area:automation,,priority:important,,v1.3,status;assignee
656,"[Child of #649] Audit: Issue Labeling Rules in labeler.yml",type:audit,area:labels,,priority:normal,,v1.2,status;assignee
655,"[Child of #649] Audit: Issue Template → Automation Trigger Mapping",type:audit,area:automation,,priority:normal,,v1.2,status;assignee
654,"[Child of #649] Audit: Issue Template Inventory & Standardization",type:audit,area:documentation,,priority:normal,,v1.2,status;assignee
653,"[Audit] File Organization - Align with CLAUDE.md Repository Boundaries",type:audit,area:core,,priority:normal,ashleyshaw,v1.1,status
651,"[Audit] Documentation Consolidation - Reduce Duplication Across Docs",type:audit,area:documentation,,priority:important,ashleyshaw,v1.2,status
602,"[PHASE 1] Move Tests Out of .jest-skip/ and Add Missing Coverage",,,,,,v1.4,type;area;status;priority;assignee
573,"Audit & fix: content gaps, duplication, stub files, and frontmatter validation",type:enhancement,area:documentation,,priority:high,ashleyshaw,v1.1,status
567,"[WCEU-03] Run NotebookLM session — Generate slide briefs",,,,,ashleyshaw,v1.6,type;area;status;priority
503,"[Epic] Consolidate GitHub workflow docs and active project pack",type:task,area:documentation,status:needs-planning,priority:important,,v1.6,assignee
449,"[Epic] Label governance stabilisation and automation hardening",type:epic,area:ci,,priority:important,ashleyshaw,v1.3,status
397,"[Task] Create memory issue linking and posting order",type:task,area:core,status:done,priority:normal,ashleyshaw,v1.6,
321,"[Release] Prepare pilot plugin restructure release readiness checklist",type:release,,status:done,priority:normal,ashleyshaw,v1.3,area
288,"[Task] Create milestone, label, and parent-child issue linking plan",type:task,area:core,,priority:normal,,,status;assignee;milestone
287,"[Audit] Capture baseline validation, test, and dependency state",type:audit,area:ci;area:core,,priority:important,,,status;assignee;milestone
285,"[Epic] Portable AI plugin restructure: validation, docs, pilot, and release",type:epic,area:ci;area:core;area:documentation,status:needs-planning,priority:important,,,assignee;milestone
284,"[Epic] Portable AI plugin restructure: core plugin and compatibility",type:epic;type:compatibility;type:ai-ops,area:core,status:needs-planning,priority:important,,,assignee;milestone
283,"[Epic] Portable AI plugin restructure: source asset migration",type:epic;type:ai-ops,area:core,status:needs-planning,priority:important,,,assignee;milestone
282,"[Epic] Portable AI plugin restructure: planning control and target skeleton",type:epic;type:ai-ops,area:core,status:done,priority:important,,,assignee;milestone
33,"[AI Ops] Spec and implementation plan for unified branding agent (headers, footers, badges)",,,,,ashleyshaw,,type;area;status;priority;milestone
32,"[AI Ops] Finalise the automated labeling infrastructure",,,status:ready,priority:critical,ashleyshaw;Copilot,v1.0,type;area
